"behavior_hour","pv_count","fav_count","cart_count","buy_count"
0,235979,10957,13652,4405
1,123931,6231,6537,1491
2,68462,3279,3703,726
3,46794,2250,2378,450
4,37445,1962,2091,367
5,41025,2029,2147,422
6,73035,3590,3658,941
7,131642,5813,6817,1782
8,179365,7730,9644,3223
9,216149,10320,12528,5017
10,243655,11072,15616,6472
11,236091,10801,14770,6255
12,237531,9823,14435,6094
13,265509,11602,16786,6783
14,265294,11569,16519,6398
15,268601,11912,16685,6496
16,259657,11024,15742,6051
17,229544,9645,13959,4762
18,249319,10236,14288,4515
19,332906,13836,18224,5693
20,424139,16424,24088,7012
21,492205,20144,29384,7873
22,492963,20096,31373,7795
23,384638,17127,26326,5655
