"category_id","total_behavior_count","buy_count","buy_percentage"
1863,201110,1910,1.79
6344,45671,1475,1.38
5232,71772,1384,1.30
5399,141726,1014,0.95
6513,152148,1004,0.94
3424,26400,930,0.87
5894,169451,927,0.87
8877,35267,913,0.86
13230,177948,825,0.77
6977,14115,816,0.76
5027,168103,815,0.76
10894,71129,811,0.76
1838,26565,775,0.73
9516,44512,725,0.68
3064,58085,724,0.68
7957,25083,721,0.68
4370,63009,717,0.67
11279,94686,703,0.66
10392,49751,686,0.64
3472,26658,686,0.64
2825,84911,578,0.54
3628,37914,568,0.53
2993,26087,547,0.51
8291,18848,539,0.51
10431,22443,536,0.50
5689,59193,528,0.49
11824,35974,518,0.49
11537,10917,508,0.48
3673,29365,500,0.47
1083,35128,486,0.46
11623,23407,463,0.43
552,32720,461,0.43
14079,50257,461,0.43
2513,26598,458,0.43
11552,39175,431,0.40
3381,43939,398,0.37
2901,7700,397,0.37
3662,16403,393,0.37
9397,12937,386,0.36
3660,14363,384,0.36
4269,16935,381,0.36
6717,4885,373,0.35
446,7168,362,0.34
7767,14065,357,0.33
2949,1115,355,0.33
508,23764,354,0.33
13041,15864,340,0.32
6054,40162,334,0.31
12067,12008,333,0.31
9412,9167,329,0.31
3783,33433,324,0.30
6648,33726,323,0.30
10507,5329,322,0.30
9614,13300,317,0.30
3798,14570,317,0.30
5468,8926,317,0.30
5503,38069,315,0.30
5271,34172,314,0.29
1421,8344,307,0.29
9517,30520,302,0.28
874,12325,301,0.28
3099,14883,298,0.28
6000,52627,296,0.28
1121,20900,293,0.27
7549,8995,293,0.27
6512,17588,291,0.27
3368,8180,287,0.27
9179,14130,263,0.25
10984,12422,257,0.24
8771,7584,255,0.24
1674,4551,253,0.24
6255,27232,251,0.24
10661,18038,246,0.23
4333,6338,242,0.23
10703,8929,241,0.23
9247,22811,233,0.22
2284,15394,232,0.22
13500,10280,228,0.21
4676,21829,228,0.21
8099,7935,226,0.21
7831,3576,225,0.21
8586,4353,223,0.21
10121,1713,218,0.20
292,9457,215,0.20
10079,3671,214,0.20
4245,9060,211,0.20
7876,9655,211,0.20
13338,13345,211,0.20
13926,3560,208,0.19
8095,13693,208,0.19
12569,7585,208,0.19
9261,10477,207,0.19
10961,10462,206,0.19
5550,2818,206,0.19
11178,3672,205,0.19
12630,14362,204,0.19
10523,9161,200,0.19
7572,5929,199,0.19
5388,14864,197,0.18
7440,9826,195,0.18
5751,3869,194,0.18
12685,3925,192,0.18
6576,6768,191,0.18
4264,11755,188,0.18
3944,2947,188,0.18
11406,15783,186,0.17
1843,20018,186,0.17
3252,17159,183,0.17
6936,5674,183,0.17
11652,12833,181,0.17
9559,22205,180,0.17
12855,18595,179,0.17
9720,5276,178,0.17
3942,6735,178,0.17
10533,34802,174,0.16
675,3978,173,0.16
7590,2673,171,0.16
10223,13888,170,0.16
7606,3523,169,0.16
3431,7306,168,0.16
5533,4065,167,0.16
12982,5664,165,0.15
9541,9478,164,0.15
12328,11376,161,0.15
2883,17136,160,0.15
7312,8669,159,0.15
9053,4623,155,0.15
5395,49711,154,0.14
2153,3592,154,0.14
284,3451,154,0.14
3760,5607,153,0.14
5623,3777,152,0.14
6697,2310,151,0.14
11376,3303,151,0.14
7195,13637,150,0.14
2950,3975,148,0.14
3475,4525,148,0.14
8796,2266,146,0.14
8254,2602,144,0.13
11497,2675,144,0.13
11757,5852,143,0.13
12189,7957,142,0.13
9807,6540,140,0.13
5204,9887,139,0.13
1509,2060,139,0.13
12753,4419,139,0.13
12170,4297,137,0.13
6226,7955,137,0.13
12553,3116,136,0.13
8956,5863,136,0.13
1723,2031,135,0.13
7639,1501,134,0.13
3960,4269,133,0.12
11311,3474,133,0.12
8864,8382,132,0.12
3093,1996,132,0.12
8860,5359,131,0.12
10901,9819,130,0.12
889,5517,129,0.12
7995,21617,128,0.12
12294,2247,126,0.12
6424,1842,126,0.12
12304,2859,125,0.12
8744,2005,125,0.12
3544,12240,124,0.12
10015,2025,124,0.12
1230,2346,123,0.12
5273,6296,123,0.12
10804,2236,123,0.12
8537,1754,123,0.12
9001,2803,122,0.11
12090,13348,121,0.11
814,4244,121,0.11
9569,6022,120,0.11
6327,7821,119,0.11
4640,10102,118,0.11
231,3792,118,0.11
6828,3401,118,0.11
11330,2350,116,0.11
4560,1435,114,0.11
9835,13148,114,0.11
1877,2131,113,0.11
9790,5430,112,0.10
9552,5227,112,0.10
12863,9600,112,0.10
437,13288,111,0.10
7516,2505,111,0.10
3625,1709,111,0.10
438,2239,110,0.10
8792,2291,110,0.10
11489,2885,109,0.10
12135,1715,109,0.10
13381,5265,109,0.10
5454,3920,108,0.10
7103,12831,107,0.10
3156,9636,106,0.10
1303,4077,106,0.10
2261,4262,106,0.10
9444,2329,105,0.10
242,8651,105,0.10
9899,1732,105,0.10
939,5911,105,0.10
13712,2371,105,0.10
11991,10143,104,0.10
12326,4304,104,0.10
5649,1384,104,0.10
3709,1583,103,0.10
5908,6288,103,0.10
13515,1945,103,0.10
6417,3870,101,0.09
4898,3450,101,0.09
9598,3594,101,0.09
989,10213,100,0.09
7928,1228,100,0.09
5017,3367,99,0.09
4721,3551,98,0.09
11914,3266,97,0.09
2730,1579,97,0.09
7021,1211,97,0.09
3988,2704,96,0.09
10412,3172,95,0.09
7299,3625,95,0.09
7917,2145,95,0.09
3940,4308,94,0.09
436,7144,93,0.09
3846,2459,93,0.09
4582,7279,91,0.09
1963,2841,90,0.08
4435,2129,90,0.08
2254,1616,89,0.08
11241,17495,89,0.08
6742,1394,89,0.08
8179,4069,88,0.08
8874,9373,88,0.08
881,2148,88,0.08
7712,2425,88,0.08
12406,2132,88,0.08
8161,7600,87,0.08
12488,15688,86,0.08
11140,2395,86,0.08
2866,1023,86,0.08
14033,3349,85,0.08
7344,6467,85,0.08
13932,956,85,0.08
10356,3961,85,0.08
1797,4775,84,0.08
3321,2476,84,0.08
9856,2455,84,0.08
13971,1663,84,0.08
3793,1553,83,0.08
6253,2053,83,0.08
4329,1437,83,0.08
6460,2857,82,0.08
13038,2790,82,0.08
8662,1948,81,0.08
9579,5404,81,0.08
8986,5933,81,0.08
3879,1949,81,0.08
4365,1109,81,0.08
10314,10911,80,0.07
9970,1393,80,0.07
8409,1062,80,0.07
7753,2251,79,0.07
13455,1468,79,0.07
2040,1120,78,0.07
11774,1282,78,0.07
150,2496,78,0.07
1518,3703,78,0.07
12973,3605,78,0.07
6825,2568,78,0.07
1488,12828,77,0.07
7146,1202,77,0.07
5993,2600,77,0.07
732,1353,76,0.07
8077,3710,76,0.07
8749,1122,76,0.07
5319,1008,75,0.07
10686,2299,75,0.07
10029,1108,75,0.07
3000,1479,75,0.07
3852,3152,74,0.07
3979,2907,73,0.07
