user_id,active_days,avg_daily_behavior,last_active_time,behavior_span_days,activity_level
4913,29,60.07,2025-12-18 09:00:00,30.38,Medium
6118,12,9.75,2025-12-18 00:00:00,28.5,Low
7528,15,14.27,2025-12-14 14:00:00,23.04,Low
7591,25,34.36,2025-12-18 16:00:00,29.83,Medium
12645,20,13.4,2025-12-18 21:00:00,30.42,Medium
45368,4,9.0,2025-12-04 14:00:00,14.75,Low
54056,2,19.0,2025-12-07 20:00:00,19.38,Low
63348,14,17.93,2025-12-16 19:00:00,23.42,Low
79824,25,26.52,2025-12-18 19:00:00,30.38,Medium
88930,24,66.83,2025-12-18 20:00:00,30.5,Medium
90472,10,14.8,2025-12-12 21:00:00,24.62,Low
100539,28,38.64,2025-12-18 11:00:00,30.08,Medium
104155,17,23.29,2025-12-16 20:00:00,28.0,Medium
109103,11,39.27,2025-12-12 14:00:00,18.08,Medium
113251,16,23.69,2025-12-07 09:00:00,19.12,Medium
113960,30,66.97,2025-12-18 22:00:00,30.17,High
114088,4,6.25,2025-12-08 19:00:00,19.38,Low
120873,23,69.39,2025-12-18 22:00:00,29.25,Medium
134658,14,18.43,2025-12-18 21:00:00,29.12,Medium
151617,30,65.63,2025-12-18 21:00:00,30.5,High
156608,16,35.25,2025-12-17 01:00:00,26.25,Medium
157097,28,53.64,2025-12-17 17:00:00,29.42,Medium
189833,29,128.28,2025-12-18 19:00:00,30.25,High
190327,25,27.84,2025-12-18 16:00:00,30.0,Medium
191366,18,66.11,2025-12-14 22:00:00,26.5,Medium
213655,17,162.47,2025-12-18 19:00:00,16.79,High
217996,5,14.4,2025-12-18 22:00:00,30.12,Low
227293,27,35.59,2025-12-18 21:00:00,30.12,Medium
230711,22,16.23,2025-12-17 15:00:00,28.71,Medium
239485,19,13.79,2025-12-16 12:00:00,26.58,Medium
247543,26,36.81,2025-12-17 14:00:00,29.33,Medium
250843,31,70.94,2025-12-18 22:00:00,30.33,High
263670,15,40.27,2025-12-18 20:00:00,30.33,Medium
287170,10,6.1,2025-12-17 22:00:00,18.5,Low
305685,12,11.17,2025-12-17 12:00:00,22.71,Low
337191,13,23.23,2025-12-16 22:00:00,27.5,Medium
355287,18,54.83,2025-12-18 16:00:00,16.71,Medium
365699,21,28.81,2025-12-18 19:00:00,29.88,Medium
