user_id,recent_5_actions,avg_recent_5_interval_min,pv_to_fav_count,pv_to_cart_count,pv_to_buy_count,has_behavior_chain
4913,pv|pv|pv|pv|pv,135.0,35,26,5,0
6118,pv|pv|pv|fav|pv,15.0,4,0,0,0
7528,cart|pv|buy|pv|pv,285.0,0,19,5,1
7591,pv|pv|pv|pv|pv,30.0,0,10,15,1
12645,pv|pv|pv|pv|pv,0.0,0,6,7,0
45368,pv|pv|pv|pv|pv,1530.0,0,0,0,0
54056,pv|pv|pv|pv|pv,0.0,2,0,2,0
63348,pv|pv|pv|pv|pv,0.0,7,7,1,0
79824,pv|pv|pv|pv|pv,45.0,0,0,11,0
88930,pv|pv|pv|pv|pv,15.0,24,14,14,1
90472,pv|pv|pv|pv|pv,0.0,6,2,0,0
100539,pv|pv|pv|pv|pv,180.0,1,41,13,1
104155,pv|pv|pv|pv|pv,0.0,9,3,4,0
109103,pv|pv|pv|pv|pv,0.0,23,11,12,1
113251,pv|pv|pv|pv|pv,1050.0,1,6,4,1
113960,pv|pv|pv|pv|pv,0.0,2,83,17,1
114088,pv|pv|pv|pv|pv,4080.0,0,0,0,0
120873,pv|pv|pv|pv|pv,75.0,56,14,3,0
134658,pv|pv|pv|pv|pv,0.0,0,1,2,0
151617,pv|pv|pv|pv|pv,0.0,21,38,27,1
156608,pv|pv|pv|pv|pv,1995.0,24,12,3,1
157097,pv|pv|pv|pv|pv,0.0,0,7,13,1
189833,pv|pv|pv|pv|pv,0.0,196,63,17,1
190327,pv|pv|pv|pv|cart,30.0,0,59,4,0
191366,pv|pv|pv|pv|pv,0.0,10,33,0,0
213655,pv|pv|pv|pv|pv,0.0,2,80,13,0
217996,pv|pv|pv|cart|pv,90.0,0,1,1,0
227293,pv|pv|pv|pv|pv,0.0,0,56,6,1
230711,pv|pv|cart|pv|pv,0.0,0,9,10,0
239485,pv|pv|pv|pv|pv,0.0,0,0,6,0
247543,pv|buy|pv|pv|pv,75.0,12,53,15,1
250843,pv|pv|pv|pv|pv,15.0,34,24,18,1
263670,pv|pv|pv|pv|pv,0.0,1,3,1,0
287170,pv|pv|pv|pv|pv,720.0,0,0,0,0
305685,pv|pv|pv|pv|pv,0.0,4,0,0,0
337191,pv|pv|pv|pv|pv,0.0,6,0,3,0
355287,pv|pv|pv|pv|pv,0.0,0,36,4,0
365699,pv|pv|pv|cart|pv,0.0,0,32,3,0
397142,pv|pv|pv|pv|pv,0.0,15,0,4,0
413178,pv|pv|pv|pv|pv,0.0,1,8,5,0
414388,buy|pv|buy|pv|pv,0.0,0,18,4,1
418175,pv|pv|pv|pv|pv,375.0,0,31,9,0
429994,pv|pv|pv|pv|pv,0.0,0,1,7,0
432337,pv|pv|pv|pv|pv,0.0,9,10,3,1
450683,pv|pv|pv|pv|pv,270.0,1,5,2,0
475826,pv|pv|pv|pv|pv,105.0,57,160,50,1
483640,pv|pv|pv|pv|pv,1395.0,1,15,10,1
493013,pv|pv|pv|pv|pv,360.0,0,6,1,0
497764,pv|pv|pv|pv|pv,0.0,64,96,7,1
501286,pv|pv|pv|pv|pv,0.0,1,17,12,1
511319,pv|pv|cart|pv|pv,15.0,0,26,3,1
521437,pv|pv|pv|pv|pv,0.0,3,16,7,1
565533,pv|pv|pv|pv|pv,0.0,0,7,12,0
567790,pv|pv|pv|pv|pv,1755.0,0,1,0,0
568881,pv|pv|fav|pv|pv,0.0,30,3,1,0
595598,pv|pv|pv|pv|pv,15.0,5,27,0,0
608951,pv|pv|pv|pv|pv,15.0,1,12,4,1
611920,pv|pv|pv|pv|pv,390.0,20,3,10,0
632347,pv|pv|pv|pv|pv,195.0,49,36,29,1
678552,pv|pv|pv|pv|pv,3465.0,0,0,0,0
704891,pv|pv|pv|pv|pv,0.0,23,35,15,1
722361,pv|pv|pv|pv|pv,0.0,0,0,0,0
742065,pv|pv|pv|pv|pv,0.0,0,2,4,0
754205,cart|pv|pv|pv|pv,0.0,0,65,12,1
764564,pv|pv|pv|pv|pv,945.0,1,11,0,0
783072,pv|pv|pv|pv|pv,195.0,0,0,0,0
790713,fav|pv|pv|pv|pv,0.0,45,1,10,0
801018,pv|pv|pv|pv|pv,45.0,0,11,8,0
807106,pv|pv|pv|pv|pv,0.0,3,13,34,1
814199,pv|pv|pv|pv|pv,0.0,19,48,11,1
819192,pv|pv|pv|pv|pv,0.0,0,4,0,0
819791,fav|buy|pv|pv|fav,0.0,1,3,1,1
828731,pv|pv|pv|pv|pv,0.0,103,0,0,0
867381,pv|pv|cart|fav|pv,0.0,98,270,22,1
876192,pv|fav|pv|pv|pv,15.0,45,19,10,1
908290,pv|pv|pv|pv|pv,45.0,0,0,0,0
914729,pv|pv|pv|pv|pv,0.0,1,0,5,0
943095,pv|pv|pv|pv|pv,510.0,0,2,1,0
985207,pv|pv|pv|pv|pv,0.0,0,7,4,0
991563,pv|pv|pv|cart|pv,0.0,1,125,20,1
1019952,pv|pv|pv|pv|pv,0.0,2,25,9,0
