behavior_hour,pv_count,fav_count,cart_count,buy_count
0,487341,11062,14156,4845
1,252991,6276,6712,1703
2,139139,3311,3834,806
3,93250,2282,2480,504
4,75832,2010,2248,397
5,83545,2062,2213,476
6,150356,3651,3768,1023
7,272470,5885,7044,1938
8,374701,7849,9970,3586
9,456781,10507,12956,5707
10,515960,11185,16203,7317
11,493679,10918,15257,7086
12,500036,9940,15025,6956
13,561513,11694,17419,7717
14,558246,11695,17067,7207
15,562238,12010,17289,7312
16,541846,11127,16304,6930
17,476369,9754,14515,5298
18,517078,10342,14823,5140
19,696035,13952,18853,6352
20,885669,16599,25021,7872
21,1030483,20397,30469,8829
22,1027269,20343,32504,8845
23,797754,17705,27434,6359
