category_id,total_behavior_count,buy_count,buy_percentage
6344,93059,2208,1.84
1863,393247,2000,1.66
5232,144200,1611,1.34
6977,26410,1324,1.1
8877,67689,1072,0.89
6513,295768,1059,0.88
5399,281739,1054,0.88
3424,54325,1053,0.88
3472,55024,1038,0.86
7957,47180,997,0.83
5894,330207,958,0.8
1838,55532,919,0.76
10392,97029,866,0.72
10894,138782,865,0.72
5027,334280,858,0.71
13230,356773,841,0.7
9516,86683,828,0.69
3064,112805,806,0.67
4370,121728,775,0.64
11279,187056,722,0.6
2825,163626,625,0.52
10431,43203,614,0.51
3628,73705,583,0.49
7767,27767,578,0.48
11824,71109,578,0.48
2993,51549,572,0.48
5689,116029,563,0.47
11537,21445,548,0.46
8291,40238,545,0.45
3673,57804,534,0.44
1083,69782,530,0.44
11623,46020,495,0.41
2513,51836,490,0.41
552,63879,488,0.41
2901,15164,484,0.4
14079,98190,479,0.4
8771,14787,458,0.38
11552,78214,439,0.37
4269,32485,438,0.36
3662,33544,437,0.36
13041,30326,427,0.36
3381,88586,406,0.34
3660,28653,398,0.33
9397,27228,387,0.32
6717,8992,384,0.32
3783,66274,375,0.31
6054,78048,374,0.31
2949,1907,373,0.31
508,46608,371,0.31
446,14478,370,0.31
12067,24060,369,0.31
3798,27839,358,0.3
1121,43752,358,0.3
874,24408,353,0.29
9412,18224,348,0.29
3368,16797,347,0.29
10507,11127,346,0.29
10984,24123,340,0.28
5271,67523,339,0.28
12569,14994,336,0.28
9179,26639,335,0.28
6648,65046,329,0.27
5503,72765,328,0.27
3099,31762,328,0.27
1421,16111,327,0.27
5468,19449,320,0.27
13500,20126,319,0.27
9614,26119,319,0.27
6512,35164,310,0.26
9517,61687,307,0.26
5751,7083,306,0.25
6000,107606,301,0.25
7549,18585,296,0.25
8586,7996,291,0.24
1674,8821,282,0.23
6255,52087,275,0.23
13338,25017,267,0.22
10121,3385,267,0.22
10661,34603,267,0.22
292,18435,263,0.22
9261,22128,263,0.22
4333,13349,252,0.21
3760,11934,251,0.21
10703,17904,247,0.21
4676,42816,246,0.2
9247,45027,242,0.2
8099,15770,239,0.2
10961,21576,236,0.2
2284,27841,234,0.19
13926,6920,230,0.19
12630,28629,229,0.19
7831,7625,225,0.19
4245,17669,224,0.19
7876,18582,224,0.19
6576,13686,223,0.19
12685,8076,221,0.18
12189,15893,221,0.18
5388,28520,219,0.18
8095,27263,218,0.18
5623,7446,218,0.18
675,7909,216,0.18
12753,8291,215,0.18
10079,7245,214,0.18
4264,23093,212,0.18
12855,35183,211,0.18
9807,12715,210,0.17
3944,6104,210,0.17
7572,11507,210,0.17
5550,6110,207,0.17
11406,28654,206,0.17
11178,7917,206,0.17
10523,18872,205,0.17
7312,16425,204,0.17
7440,20600,199,0.17
3252,33141,198,0.16
11497,5317,197,0.16
7606,7004,197,0.16
9720,10957,195,0.16
8874,18487,193,0.16
11652,25388,191,0.16
1843,38070,186,0.15
3431,13495,186,0.15
9559,43875,186,0.15
7590,5152,185,0.15
2950,7809,184,0.15
10533,67119,184,0.15
3942,13598,184,0.15
6936,11694,184,0.15
814,8240,182,0.15
11376,7178,181,0.15
10223,26387,179,0.15
3988,5291,177,0.15
9541,19318,176,0.15
3475,9231,175,0.15
5204,18545,173,0.14
7195,26420,171,0.14
2883,34402,169,0.14
5533,7961,167,0.14
12328,22404,166,0.14
12982,11627,165,0.14
3625,3359,165,0.14
9053,9778,164,0.14
1509,4045,164,0.14
5395,96878,162,0.13
8744,3998,162,0.13
4560,2586,160,0.13
5273,11662,158,0.13
3960,8739,157,0.13
11757,11174,157,0.13
8864,15853,156,0.13
284,7226,155,0.13
2153,7604,154,0.13
6697,5059,151,0.13
6327,14946,149,0.12
6226,15669,149,0.12
8254,5247,147,0.12
8796,5007,146,0.12
10901,18623,144,0.12
1303,7771,141,0.12
1723,4210,140,0.12
8860,11632,139,0.12
12170,8579,138,0.11
9569,11692,137,0.11
8956,12069,137,0.11
12553,6784,137,0.11
11311,7141,136,0.11
7516,5154,136,0.11
889,11146,135,0.11
7995,40812,135,0.11
7639,3184,134,0.11
11750,2322,133,0.11
3093,3965,133,0.11
9552,10305,132,0.11
939,11382,132,0.11
242,16131,131,0.11
12294,4768,131,0.11
6828,6936,130,0.11
438,4452,129,0.11
6424,3794,129,0.11
9790,10567,127,0.11
12304,6165,127,0.11
9835,25390,126,0.1
3544,23826,126,0.1
1230,4887,126,0.1
11330,4355,126,0.1
7712,4456,126,0.1
7299,7205,125,0.1
8537,3316,125,0.1
9001,5482,125,0.1
231,7940,124,0.1
1877,4278,124,0.1
10015,4223,124,0.1
6045,4369,123,0.1
10804,4576,123,0.1
12326,8782,123,0.1
12090,28538,122,0.1
5661,3270,122,0.1
8010,3249,121,0.1
11241,33458,121,0.1
3156,18518,120,0.1
4640,20057,119,0.1
12863,18549,119,0.1
5454,7236,119,0.1
8077,7109,117,0.1
9899,3142,116,0.1
13381,10917,115,0.1
5908,12048,114,0.09
437,26242,113,0.09
7103,24936,113,0.09
2261,8882,112,0.09
2828,4528,111,0.09
11489,6309,111,0.09
14033,6265,110,0.09
9579,10327,110,0.09
4898,7548,110,0.09
8792,4765,110,0.09
12135,3706,109,0.09
989,19679,108,0.09
13515,3812,108,0.09
6417,7622,107,0.09
11991,19412,107,0.09
10412,6224,107,0.09
13712,4890,105,0.09
7753,4136,105,0.09
603,4904,105,0.09
9444,5149,105,0.09
11335,5373,104,0.09
5649,2401,104,0.09
3709,3326,104,0.09
8161,14503,104,0.09
1346,3389,104,0.09
3852,6102,103,0.09
436,13657,102,0.08
11914,6937,102,0.08
9598,7799,101,0.08
12406,4272,101,0.08
3846,4834,101,0.08
7928,2236,101,0.08
4747,6422,101,0.08
6531,2655,100,0.08
7021,2342,100,0.08
5017,7266,99,0.08
3940,8606,99,0.08
13152,6112,99,0.08
4721,7344,98,0.08
9856,4376,98,0.08
7917,4559,98,0.08
2730,3480,97,0.08
7146,2520,96,0.08
6460,5324,95,0.08
7344,13070,94,0.08
4365,2145,94,0.08
4582,14776,94,0.08
630,4048,93,0.08
3793,3045,93,0.08
10049,31432,92,0.08
1963,5769,92,0.08
7117,1778,92,0.08
13038,5565,92,0.08
10356,7737,92,0.08
3378,5402,91,0.08
5867,16940,91,0.08
13332,3574,91,0.08
4435,4518,91,0.08
8179,7707,91,0.08
8986,11472,91,0.08
6742,2858,90,0.07
881,4603,90,0.07
2254,3376,90,0.07
6253,4267,89,0.07
150,5236,88,0.07
11140,5204,88,0.07
8409,2007,88,0.07
5993,5409,86,0.07
2866,2123,86,0.07
12488,30906,86,0.07
4276,2890,85,0.07
13932,1827,85,0.07
10908,1546,84,0.07
451,9733,84,0.07
3975,5532,84,0.07
6825,5008,84,0.07
1797,8855,84,0.07
4190,6103,84,0.07
13971,3584,84,0.07
3321,5015,84,0.07
4364,5736,83,0.07
4329,3087,83,0.07
10314,21476,82,0.07
3879,4034,82,0.07
8662,3684,81,0.07
3067,3463,81,0.07
7619,2586,80,0.07
8749,2215,80,0.07
9970,2710,80,0.07
2631,2653,79,0.07
