"behavior_date","behavior_count"
"2025-11-18",186278
"2025-11-19",181713
"2025-11-20",178849
"2025-11-21",168903
"2025-11-22",183014
"2025-11-23",194205
"2025-11-24",191139
"2025-11-25",186803
"2025-11-26",183017
"2025-11-27",188747
"2025-11-28",172392
"2025-11-29",185940
"2025-11-30",204398
"2025-12-01",200520
"2025-12-02",206313
"2025-12-03",209477
"2025-12-04",203829
"2025-12-05",183633
"2025-12-06",198378
"2025-12-07",202206
"2025-12-08",197172
"2025-12-09",202261
"2025-12-10",215171
"2025-12-11",247364
"2025-12-12",346464
"2025-12-13",205983
"2025-12-14",204056
"2025-12-15",201242
"2025-12-16",199749
"2025-12-17",193980
"2025-12-18",190183
