time_dimension,time_value,behavior_count,pv_count,fav_count,cart_count,buy_count
hour,0,517404,487341,11062,14156,4845
hour,1,267682,252991,6276,6712,1703
hour,2,147090,139139,3311,3834,806
hour,3,98516,93250,2282,2480,504
hour,4,80487,75832,2010,2248,397
hour,5,88296,83545,2062,2213,476
hour,6,158798,150356,3651,3768,1023
hour,7,287337,272470,5885,7044,1938
hour,8,396106,374701,7849,9970,3586
hour,9,485951,456781,10507,12956,5707
hour,10,550665,515960,11185,16203,7317
hour,11,526940,493679,10918,15257,7086
hour,12,531957,500036,9940,15025,6956
hour,13,598343,561513,11694,17419,7717
hour,14,594215,558246,11695,17067,7207
hour,15,598849,562238,12010,17289,7312
hour,16,576207,541846,11127,16304,6930
hour,17,505936,476369,9754,14515,5298
hour,18,547383,517078,10342,14823,5140
hour,19,735192,696035,13952,18853,6352
hour,20,935161,885669,16599,25021,7872
hour,21,1090178,1030483,20397,30469,8829
hour,22,1088961,1027269,20343,32504,8845
hour,23,849252,797754,17705,27434,6359
weekday,Monday,1557976,1470008,30646,42804,14518
weekday,Tuesday,1935266,1824959,38719,53553,18035
weekday,Wednesday,1938026,1827406,38884,53761,17975
weekday,Thursday,1988870,1874214,40175,56846,17635
weekday,Friday,1727332,1618868,31236,52419,24809
weekday,Saturday,1522822,1437153,30648,41490,13531
weekday,Sunday,1586614,1497973,32248,42691,13702
day_type,Weekday,9147470,8615455,179660,259383,92972
day_type,Weekend,3109436,2935126,62896,84181,27233
